source_id	ONCpc2	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	F336W	e_F336W	f_F336W	F439W	e_F439W	f_F439W	F656N	e_F656N	f_F656N	F814W	e_F814W	f_F814W
5534	363	83.836021	-5.398111	1	1	05 35 20.645	-05 23 53.20	17.8277	0.1055	1	19.5647	0.1854	1	13.0775	0.0736	1	14.2524	0.012	1
5565	364	83.837117	-5.389403	1	1	05 35 20.908	-05 23 21.85	       	20.0317	2	20.9564	0.1897	1	15.9702	0.1933	1	15.4818	0.0173	1
5496	365	83.835392	-5.392014	1	1	05 35 20.494	-05 23 31.25	       	20.816	2	       	       	0	       	       	3	17.0737	0.0512	1
5597	366	83.83755	-5.398819	1	0	05 35 21.012	-05 23 55.75	       	19.5827	2	       	21.4938	2	       	15.1306	2	15.9066	0.0235	1
6129	367	83.849154	-5.392833	1	1	05 35 23.797	-05 23 34.20	17.5579	0.0334	1	18.1886	0.0292	1	12.5015	0.0177	1	13.7393	0.0111	1
5617	368	83.838304	-5.400056	1	0	05 35 21.193	-05 24 00.20	       	20.5664	2	       	21.5796	2	       	16.26	2	17.2133	0.0546	1
5656	369	83.839033	-5.395958	1	2	05 35 21.368	-05 23 45.45	       	20.6947	2	17.3813	0.024	1	14.1728	0.079	1	13.5718	0.0108	1
5749	370	83.840779	-5.386308	1	1	05 35 21.787	-05 23 10.71	       	20.1296	2	20.6513	0.1281	1	16.2457	0.2873	1	14.8454	0.0138	1
5642	371	83.838125	-5.432511	2	0	05 35 21.150	-05 25 57.04	18.29	0.0216	1	17.3675	0.02	1	13.2831	0.0124	1	13.4426	0.0107	1
5642	371	83.838125	-5.432511	2	0	05 35 21.150	-05 25 57.04	17.707	0.027	1	17.0428	0.0172	1	13.1611	0.0136	1	13.2044	0.0109	1
5767	373	83.841138	-5.398764	1	0	05 35 21.873	-05 23 55.55	       	20.8599	2	19.7235	0.084	1	16.0946	0.2235	1	14.8803	0.0157	1
5452	374	83.834429	-5.417792	1	1	05 35 20.263	-05 25 04.05	17.2965	0.0495	1	18.6257	0.0722	1	12.4747	0.0304	1	16.0918	0.0274	1
5632	375	83.838496	-5.383197	1	1	05 35 21.239	-05 22 59.51	20.64	0.1305	1	20.8348	0.1171	1	14.8843	0.0644	1	15.3781	0.0143	1
5949	376	83.844975	-5.387056	2	1	05 35 22.794	-05 23 13.40	20.94	0.1712	1	20.2017	0.1162	1	15.8427	0.036	1	15.0218	0.0128	1
5949	376	83.844975	-5.387056	2	1	05 35 22.794	-05 23 13.40	20.948	0.1721	1	20.1789	0.0765	1	15.7446	0.0732	1	15.0374	0.0136	1
5660	378	83.838825	-5.403208	1	1	05 35 21.318	-05 24 11.55	18.363	0.1793	1	20.7744	0.2337	1	13.5859	0.1247	1	14.3202	0.0123	1
5402	379	83.833537	-5.42065	1	1	05 35 20.049	-05 25 14.34	19.4628	0.2718	1	       	20.5448	2	14.7045	0.1453	1	17.4075	0.0629	1
5743	380	83.840688	-5.39425	1	1	05 35 21.765	-05 23 39.30	19.1421	0.1366	1	19.4067	0.0663	1	14.1807	0.0868	1	14.8152	0.0135	1
5512	381	83.835554	-5.405833	1	1	05 35 20.533	-05 24 21.00	       	19.7047	2	       	20.577	2	14.5271	0.2015	1	15.2578	0.017	1
5863	382	83.842525	-5.406944	1	1	05 35 22.206	-05 24 25.00	16.4843	0.0333	1	15.5075	0.0117	1	12.6549	0.0562	1	12.1249	0.0104	1
5417	383	83.833937	-5.426067	1	1	05 35 20.145	-05 25 33.84	       	21.2463	2	20.4975	0.1117	1	15.1923	0.0937	1	16.828	0.0337	1
5811	384	83.842121	-5.405639	1	0	05 35 22.109	-05 24 20.30	17.7544	0.1328	1	19.5176	0.1913	1	13.1928	0.0903	1	16.1482	0.0315	1
6111	385	83.848804	-5.388861	1	1	05 35 23.713	-05 23 19.90	20.3548	0.158	1	21.4525	0.2418	1	15.9446	0.1036	1	16.3481	0.0237	1
5713	386	83.840242	-5.424025	1	1	05 35 21.658	-05 25 26.49	18.763	0.0862	1	17.7873	0.0275	1	14.6375	0.0602	1	13.7559	0.011	1
5890	387	83.842967	-5.403958	1	0	05 35 22.312	-05 24 14.25	18.5188	0.1161	1	19.563	0.102	1	12.6769	0.0737	1	15.3713	0.0204	1
5795	388	83.840812	-5.398306	1	1	05 35 21.795	-05 23 53.90	16.1477	0.0317	1	14.8141	0.0107	1	12.7609	0.0539	1	11.9341	0.0102	1
5357	389	83.832633	-5.413319	1	1	05 35 19.832	-05 24 47.95	19.1758	0.123	1	19.3859	0.0704	1	13.4438	0.0562	1	14.6169	0.0137	1
5398	390	83.833508	-5.427053	1	1	05 35 20.042	-05 25 37.39	18.182	0.0353	1	17.3974	0.0191	1	13.6736	0.0178	1	13.2931	0.0107	1
6096	391	83.848529	-5.392208	2	1	05 35 23.647	-05 23 31.95	16.6225	0.0762	1	18.1279	0.0424	1	12.8791	0.0691	1	14.1565	0.012	1
6096	391	83.848529	-5.392208	2	1	05 35 23.647	-05 23 31.95	19.243	0.099	1	18.3528	0.0316	1	14.9279	0.0887	1	14.1192	0.0116	1
5679	393	83.839554	-5.387975	2	1	05 35 21.493	-05 23 16.71	       	20.5443	2	       	20.6196	2	15.6627	0.1167	1	15.3595	0.0138	1
5679	393	83.839554	-5.387975	2	1	05 35 21.493	-05 23 16.71	19.2362	0.2043	1	       	20.9459	2	15.5039	0.2031	1	15.265	0.0154	1
5613	395	83.838208	-5.392556	2	1	05 35 21.170	-05 23 33.20	       	20.1847	2	       	21.7093	2	14.6795	0.1537	1	16.1755	0.0226	1
5613	395	83.838208	-5.392556	2	1	05 35 21.170	-05 23 33.20	       	21.0268	2	       	20.7774	2	14.5803	0.145	1	16.1433	0.0256	1
5652	397	83.838783	-5.415969	1	1	05 35 21.308	-05 24 57.49	16.208	0.02	1	15.2398	0.0114	1	12.5987	0.03	1	12.0953	0.0105	1
5656	398	83.83875	-5.396139	1	1	05 35 21.300	-05 23 46.10	19.3791	0.1214	1	20.6584	0.1759	1	14.6565	0.1225	1	16.3967	0.0315	1
5559	399	83.837054	-5.426247	1	1	05 35 20.893	-05 25 34.49	       	       	0	       	21.6314	2	17.3362	0.2273	1	17.2012	0.0403	1
5896	400	83.844075	-5.3955	2	1	05 35 22.578	-05 23 43.80	15.9795	0.062	1	16.2401	0.0227	1	11.8727	0.0588	1	13.3826	0.0111	1
5896	400	83.844075	-5.3955	2	1	05 35 22.578	-05 23 43.80	17.8002	0.0394	1	17.179	0.0192	1	13.5426	0.0465	1	13.314	0.0108	1
5870	402	83.843446	-5.40375	1	0	05 35 22.427	-05 24 13.50	       	       	0	       	21.2638	2	       	15.5525	2	16.3164	0.0366	1
6181	403	83.850087	-5.387181	1	1	05 35 24.021	-05 23 13.85	       	21.5778	2	       	21.2879	2	16.2142	0.1394	1	17.2324	0.0376	1
5532	404	83.836079	-5.419664	1	1	05 35 20.659	-05 25 10.79	       	19.1495	2	20.5102	0.2111	1	16.5294	0.1272	1	15.3448	0.0153	1
5731	405	83.8405	-5.396778	1	1	05 35 21.720	-05 23 48.40	       	19.3517	2	       	20.4978	2	       	14.9436	2	17.1496	0.0602	1
5521	406	83.835912	-5.412903	1	1	05 35 20.619	-05 24 46.45	16.96	0.0417	1	17.7217	0.0344	1	12.1763	0.0327	1	13.722	0.0117	1
5697	407	83.840083	-5.390486	2	1	05 35 21.620	-05 23 25.75	       	21.3789	2	       	20.5664	2	       	17.003	2	16.9753	0.0305	1
5697	407	83.840083	-5.390486	2	1	05 35 21.620	-05 23 25.75	       	20.8228	2	       	20.7749	2	       	16.094	2	16.9448	0.0501	1
5759	409	83.840987	-5.385128	2	1	05 35 21.837	-05 23 06.46	       	       	0	       	22.1719	2	16.9505	0.1894	1	17.2388	0.0393	1
5759	409	83.840987	-5.385128	2	1	05 35 21.837	-05 23 06.46	17.0113	0.0383	1	16.9734	0.0279	1	14.8769	0.1928	1	15.8166	0.0326	1
4789	411	83.823542	-5.419639	1	0	05 35 17.650	-05 25 10.70	18.8098	0.2925	1	20.1699	0.1544	1	14.124	0.1672	1	16.1561	0.0295	1
4883	412	83.824675	-5.418486	1	0	05 35 17.922	-05 25 06.55	18.5557	0.1927	1	       	20.3801	2	13.4832	0.1308	1	15.9943	0.0339	1
5138	413	83.828617	-5.391347	1	0	05 35 18.868	-05 23 28.85	18.2918	0.0887	1	18.7165	0.0496	1	13.8493	0.1597	1	14.9367	0.0219	1
5182	414	83.829271	-5.4175	1	0	05 35 19.025	-05 25 03.00	18.6354	0.2723	1	19.6671	0.2383	1	13.6472	0.1965	1	15.6127	0.0282	1
5809	415	83.842013	-5.409153	2	1	05 35 22.083	-05 24 32.95	17.0934	0.0436	1	18.6395	0.0469	1	12.0854	0.0222	1	14.2559	0.0127	1
5809	415	83.842013	-5.409153	2	1	05 35 22.083	-05 24 32.95	17.3893	0.0533	1	18.4431	0.0362	1	12.2405	0.0253	1	14.2303	0.0122	1
8190	417	83.814758	-5.420597	1	0	05 35 15.542	-05 25 14.15	16.6095	0.0353	1	18.0375	0.0464	1	12.6063	0.0524	1	12.0044	0.0104	1
4537	418	83.820187	-5.390614	1	0	05 35 16.845	-05 23 26.21	14.2616	0.0239	1	15.3703	0.0255	1	10.3729	0.0139	1	13.7404	0.0181	1
4655	419	83.821687	-5.390739	1	0	05 35 17.205	-05 23 26.66	16.262	0.0756	1	17.7585	0.084	1	11.9205	0.0313	1	15.9615	0.0422	1
5009	420	83.825837	-5.396181	1	0	05 35 18.201	-05 23 46.25	       	       	0	       	21.4177	2	       	       	3	19.0083	0.1704	1
5475	421	83.835062	-5.391569	1	0	05 35 20.415	-05 23 29.65	20.2795	0.147	1	20.384	0.1054	1	14.0962	0.0748	1	14.6927	0.013	1
6129	422	83.849483	-5.392556	1	1	05 35 23.876	-05 23 33.20	19.9945	0.2654	1	20.6655	0.1481	1	15.111	0.246	1	16.1094	0.0259	1
6129	423	83.849425	-5.392792	1	2	05 35 23.862	-05 23 34.05	20.0044	0.2677	1	20.6639	0.1483	1	15.0963	0.2423	1	16.1097	0.026	1
6319	424	83.854379	-5.382933	1	0	05 35 25.051	-05 22 58.56	17.9676	0.0217	1	17.3096	0.0172	1	13.2526	0.0166	1	12.8712	0.0107	1
5900	425	83.844008	-5.433983	1	0	05 35 22.562	-05 26 02.34	20.3784	0.29	1	       	21.0117	2	       	17.3393	2	18.6149	0.088	1
5974	426	83.845904	-5.426747	1	0	05 35 23.017	-05 25 36.29	       	       	0	       	20.77	2	15.8456	0.076	1	17.9386	0.0664	1
5876	427	83.843575	-5.436386	1	0	05 35 22.458	-05 26 10.99	       	20.4805	2	       	21.0328	2	16.6721	0.1317	1	17.1737	0.0373	1
6105	428	83.848642	-5.415956	1	0	05 35 23.674	-05 24 57.44	       	18.7744	2	19.5386	0.1078	1	15.7998	0.1153	1	14.4527	0.0124	1
6175	429	83.849896	-5.419428	1	1	05 35 23.975	-05 25 09.94	16.8921	0.021	1	18.6481	0.0382	1	12.8381	0.0138	1	15.398	0.0152	1
6086	430	83.848296	-5.424039	1	0	05 35 23.591	-05 25 26.54	17.3161	0.0448	1	18.7026	0.0397	1	13.4861	0.0181	1	15.2638	0.0141	1
6017	431	83.846783	-5.431831	1	0	05 35 23.228	-05 25 54.59	       	21.4054	2	       	20.9425	2	17.4526	0.2379	1	16.8807	0.031	1
6431	432	83.857129	-5.385944	1	0	05 35 25.711	-05 23 09.40	19.4038	0.0555	1	18.8191	0.0338	1	14.9771	0.0409	1	14.2098	0.0114	1
6374	433	83.855925	-5.392597	1	0	05 35 25.422	-05 23 33.35	20.9174	0.2794	1	20.554	0.126	1	16.1898	0.119	1	15.3047	0.0145	1
6250	434	83.850896	-5.421886	1	0	05 35 24.215	-05 25 18.79	16.438	0.0149	1	16.5692	0.0149	1	12.088	0.0116	1	12.8576	0.0109	1
6470	435	83.858983	-5.382514	1	0	05 35 26.156	-05 22 57.05	       	       	0	       	21.3671	2	       	18.1316	2	16.7345	0.025	1
6506	436	83.860004	-5.384	1	0	05 35 26.401	-05 23 02.40	21.8711	0.2885	1	       	21.359	2	16.6046	0.0816	1	16.553	0.0231	1
6303	437	83.853662	-5.419511	1	1	05 35 24.879	-05 25 10.24	20.6006	0.2734	1	20.4964	0.1433	1	16.5644	0.1313	1	16.8006	0.0334	1
6225	438	83.851396	-5.433442	1	0	05 35 24.335	-05 26 00.39	       	20.8777	2	21.5296	0.272	1	16.8042	0.123	1	15.3145	0.0139	1
6532	439	83.860358	-5.395847	1	0	05 35 26.486	-05 23 45.05	       	20.0433	2	       	20.7146	2	15.008	0.2259	1	17.4977	0.0611	1
6525	440	83.859754	-5.427858	1	1	05 35 26.341	-05 25 40.29	13.8572	0.0103	1	13.3465	0.0102	1	11.1461	       	3	10.9459	       	3
6673	441	83.863729	-5.393486	1	0	05 35 27.295	-05 23 36.55	17.299	0.1133	1	17.0229	0.031	1	13.1848	0.081	1	12.9446	0.0113	1
6603	442	83.862296	-5.400111	1	0	05 35 26.951	-05 24 00.40	       	20.5645	2	20.837	0.166	1	       	16.7481	2	15.5413	0.0152	1
6603	443	83.862396	-5.40025	1	0	05 35 26.975	-05 24 00.90	       	21.5117	2	       	20.9027	2	       	17.3642	2	15.829	0.0168	1
6466	444	83.858979	-5.42765	1	0	05 35 26.155	-05 25 39.54	20.182	0.2799	1	       	20.8852	2	17.497	0.248	1	15.7085	0.0177	1
6722	445	83.865708	-5.392431	1	0	05 35 27.770	-05 23 32.75	19.5677	0.1885	1	20.5966	0.2879	1	16.2595	0.2597	1	16.1153	0.0209	1
6962	446	83.874346	-5.398775	1	0	05 35 29.843	-05 23 55.59	18.8007	0.0422	1	17.9936	0.0268	1	13.9329	0.0201	1	13.5888	0.0109	1
6513	447	83.860067	-5.425469	1	1	05 35 26.416	-05 25 31.69	19.6812	0.0778	1	20.617	0.1156	1	15.099	0.0316	1	16.2285	0.0201	1
6447	448	83.858067	-5.429914	1	0	05 35 25.936	-05 25 47.69	       	20.7089	2	       	21.038	2	17.2129	0.2669	1	18.6392	0.1013	1
6844	449	83.868212	-5.417719	1	1	05 35 28.371	-05 25 03.79	17.7959	0.0348	1	17.1716	0.0182	1	13.1562	0.0128	1	13.0312	0.0106	1
6981	450	83.874404	-5.396789	2	0	05 35 29.857	-05 23 48.44	17.4139	0.0152	1	18.237	0.0298	1	13.32	0.0128	1	14.1637	0.0116	1
6981	450	83.874404	-5.396789	2	0	05 35 29.857	-05 23 48.44	17.281	0.021	1	18.0666	0.0273	1	13.2707	0.0129	1	14.1018	0.0113	1
6597	452	83.862204	-5.413386	1	1	05 35 26.929	-05 24 48.19	       	20.4246	2	       	21.7703	2	16.7691	0.1608	1	15.5148	0.0154	1
6732	453	83.866042	-5.389931	1	0	05 35 27.850	-05 23 23.75	       	       	0	       	21.2399	2	17.285	0.0853	1	17.0017	0.0315	1
6768	454	83.8672	-5.385125	1	0	05 35 28.128	-05 23 06.45	       	21.3281	2	       	21.3702	2	16.8542	0.0997	1	15.9504	0.0168	1
6447	455	83.858337	-5.429956	1	0	05 35 26.001	-05 25 47.84	18.535	0.0381	1	18.205	0.0278	1	13.9253	0.0158	1	13.692	0.0108	1
6238	456	83.851592	-5.411039	1	0	05 35 24.382	-05 24 39.74	       	18.2724	2	16.8407	0.0257	1	       	       	3	12.8246	0.0112	1
6287	457	83.852871	-5.409928	1	0	05 35 24.689	-05 24 35.74	18.1046	0.0807	1	17.5712	0.0257	1	13.0839	0.017	1	13.4071	0.0111	1
6315	458	83.854258	-5.410692	1	1	05 35 25.022	-05 24 38.49	19.273	0.0898	1	20.7312	0.1821	1	13.8627	0.022	1	17.5715	0.0569	1
5923	459	83.84465	-5.418289	1	1	05 35 22.716	-05 25 05.84	17.5911	0.1825	1	18.7135	0.2247	1	       	17.2024	2	15.4917	0.0229	1
6072	460	83.848033	-5.415108	1	0	05 35 23.528	-05 24 54.39	       	18.4578	2	       	19.64	2	       	       	3	17.7716	0.0718	1
6262	461	83.852108	-5.417108	1	1	05 35 24.506	-05 25 01.59	16.8999	0.0272	1	18.1938	0.0346	1	12.6248	0.0142	1	14.5129	0.0128	1
5959	462	83.845108	-5.429914	1	0	05 35 22.826	-05 25 47.69	19.7479	0.0953	1	19.9626	0.0834	1	14.5353	0.029	1	14.9331	0.0127	1
5880	463	83.843571	-5.429233	1	0	05 35 22.457	-05 25 45.24	20.2638	0.2308	1	20.4387	0.1355	1	16.0333	0.1067	1	15.5756	0.0158	1
6362	464	83.855696	-5.403194	1	0	05 35 25.367	-05 24 11.50	19.7955	0.1957	1	20.2852	0.1436	1	14.0842	0.079	1	16.2493	0.0279	1
6477	465	83.859092	-5.422358	2	1	05 35 26.182	-05 25 20.49	18.7397	0.0728	1	19.7421	0.0656	1	16.1427	0.0701	1	15.0637	0.013	1
6477	465	83.859092	-5.422358	2	1	05 35 26.182	-05 25 20.49	16.6151	0.1513	1	18.0173	0.1226	1	       	14.7548	2	14.9837	0.0167	1
6792	467	83.867487	-5.416164	2	1	05 35 28.197	-05 24 58.19	15.3249	0.0118	1	15.7966	0.012	1	11.59	0.0124	1	12.7028	0.0106	1
6792	467	83.867487	-5.416164	2	1	05 35 28.197	-05 24 58.19	16.1166	0.0142	1	16.2515	0.0133	1	11.8569	0.0138	1	12.9013	0.0105	1
6546	469	83.860692	-5.436008	1	0	05 35 26.566	-05 26 09.63	       	21.6308	2	       	21.127	2	17.1162	0.2354	1	19.0705	0.1144	1
6559	470	83.860917	-5.432733	1	1	05 35 26.620	-05 25 57.84	18.6128	0.0638	1	19.7905	0.1221	1	14.6909	0.034	1	19.6915	0.1814	1
5865	471	83.843342	-5.419344	1	1	05 35 22.402	-05 25 09.64	19.3411	0.1351	1	18.0389	0.0308	1	14.0705	0.0381	1	13.7995	0.0111	1
5988	472	83.846225	-5.437578	1	0	05 35 23.094	-05 26 15.28	20.1678	0.2106	1	       	21.2695	2	16.9872	0.2768	1	16.8848	0.0292	1
7038	473	83.877	-5.406483	1	0	05 35 30.480	-05 24 23.34	16.8379	0.0146	1	15.8418	0.0115	1	12.8421	0.0111	1	12.5246	0.0103	1
6887	474	83.872217	-5.429564	1	0	05 35 29.332	-05 25 46.43	18.6853	0.0366	1	18.1198	0.0268	1	13.919	0.0141	1	13.5812	0.0108	1
7130	475	83.880167	-5.394442	1	0	05 35 31.240	-05 23 39.99	17.9058	0.0313	1	16.8788	0.0151	1	13.5951	0.0185	1	13.1336	0.0106	1
6909	476	83.872825	-5.427036	1	1	05 35 29.478	-05 25 37.33	20.9852	0.1997	1	21.3551	0.1981	1	17.0521	0.1123	1	16.0054	0.0182	1
7095	477	83.878962	-5.40065	1	0	05 35 30.951	-05 24 02.34	       	       	0	       	21.937	2	       	17.3639	2	18.9872	0.1027	1
7019	478	83.876721	-5.427397	1	0	05 35 30.413	-05 25 38.63	16.1083	0.0123	1	16.4164	0.013	1	12.7697	0.0123	1	13.32	0.0107	1
7060	479	83.877833	-5.419786	1	0	05 35 30.680	-05 25 11.23	19.5807	0.0686	1	20.3442	0.1127	1	15.6184	0.0458	1	15.8364	0.0177	1
7002	480	83.876121	-5.43105	1	0	05 35 30.269	-05 25 51.78	19.1947	0.047	1	18.1655	0.0272	1	14.606	0.0181	1	13.81	0.011	1
7099	481	83.878979	-5.428911	1	0	05 35 30.955	-05 25 44.08	20.355	0.1011	1	19.615	0.0561	1	15.6266	0.0451	1	14.3774	0.0118	1
7299	482	83.885529	-5.436269	1	0	05 35 32.527	-05 26 10.57	17.7229	0.02	1	16.6548	0.0135	1	13.4793	0.0123	1	12.9829	0.0105	1
7467	483	83.893833	-5.392164	1	0	05 35 34.520	-05 23 31.79	21.9504	0.2172	1	20.3283	0.0794	1	17.7983	0.0807	1	17.096	0.0325	1
6814	484	83.868417	-5.438981	2	0	05 35 28.420	-05 26 20.33	11.8873	       	3	11.4159	       	3	10.4444	       	3	10.311	       	3
6814	484	83.868417	-5.438981	2	0	05 35 28.420	-05 26 20.33	11.5133	       	3	11.2203	       	3	10.0935	       	3	10.1156	       	3
7091	486	83.878808	-5.423272	1	0	05 35 30.914	-05 25 23.78	19.8587	0.0797	1	18.7943	0.0363	1	15.4013	0.039	1	14.3824	0.0119	1
6927	487	83.873304	-5.415831	1	0	05 35 29.593	-05 24 56.99	18.51	0.0377	1	17.5615	0.022	1	14.1036	0.0184	1	13.463	0.011	1
7730	488	83.904671	-5.416089	1	0	05 35 37.121	-05 24 57.92	       	22.2201	2	       	21.3333	2	       	17.9108	2	17.864	0.0649	1
7774	489	83.908771	-5.441058	1	0	05 35 38.105	-05 26 27.81	       	21.3086	2	       	21.3845	2	       	17.9444	2	18.3975	0.0696	1
8191	490	83.905712	-5.444933	1	0	05 35 37.371	-05 26 41.76	16.2228	0.0112	1	15.1207	0.0108	1	12.2179	0.0106	1	11.8841	0.0102	1
26	491	83.558013	-5.408606	1	1	05 34 13.923	-05 24 30.98	       	22.2097	2	       	22.4623	2	18.0685	0.0792	1	17.8346	0.0661	1
41	492	83.5631	-5.412147	1	1	05 34 15.144	-05 24 43.73	       	23.0924	2	       	       	0	19.4402	0.2015	1	18.4786	0.0813	1
48	493	83.564817	-5.404564	1	1	05 34 15.556	-05 24 16.43	       	       	0	       	22.5829	2	       	19.4104	2	18.2804	0.0706	1
163	494	83.587437	-5.413456	1	1	05 34 20.985	-05 24 48.44	20.1633	0.0497	1	19.3153	0.0426	1	15.7097	0.022	1	15.0447	0.0131	1
206	495	83.593087	-5.409403	1	1	05 34 22.341	-05 24 33.85	22.5885	0.2817	1	       	21.6429	2	18.5438	0.1131	1	16.9906	0.0285	1
339	496	83.613896	-5.406208	1	0	05 34 27.335	-05 24 22.35	14.4507	0.0104	1	13.7462	0.0105	1	11.2294	0.0106	1	10.9998	0.0102	1
304	497	83.609142	-5.405292	2	0	05 34 26.194	-05 24 19.05	15.9635	0.011	1	14.8971	0.0108	1	12.0197	       	3	11.672	       	3
304	497	83.609142	-5.405292	2	0	05 34 26.194	-05 24 19.05	16.0322	0.0122	1	14.8276	0.0109	1	11.9345	       	3	11.6108	       	3
418	499	83.621833	-5.399086	1	0	05 34 29.240	-05 23 56.71	13.4168	       	3	13.0797	       	3	11.2944	       	3	11.1888	       	3
372	500	83.618829	-5.416069	1	0	05 34 28.519	-05 24 57.85	15.9206	0.0109	1	15.2034	0.0113	1	12.3765	0.0108	1	12.3053	0.0104	1
412	501	83.622371	-5.431069	1	0	05 34 29.369	-05 25 51.85	22.394	0.1671	1	21.1335	0.1279	1	17.0332	0.0512	1	15.9649	0.0163	1
443	502	83.62495	-5.421486	1	0	05 34 29.988	-05 25 17.35	22.0382	0.1482	1	20.6191	0.0944	1	17.6703	0.1236	1	15.504	0.0145	1
781	503	83.6592	-5.406586	1	0	05 34 38.208	-05 24 23.71	18.0125	0.0182	1	20.0798	0.1086	1	13.9542	0.0123	1	14.439	0.0116	1
716	504	83.655062	-5.419528	1	0	05 34 37.215	-05 25 10.30	       	22.0785	2	       	21.6825	2	       	19.0043	2	19.0052	0.0937	1
622	505	83.642729	-5.443067	1	0	05 34 34.255	-05 26 35.04	       	22.1467	2	       	21.676	2	       	19.3696	2	18.8791	0.0944	1
514	506	83.632904	-5.443553	2	0	05 34 31.897	-05 26 36.79	19.5264	0.0289	1	17.9741	0.0235	1	14.5445	0.0132	1	13.7979	0.0109	1
514	506	83.632904	-5.443553	2	0	05 34 31.897	-05 26 36.79	18.8845	0.0266	1	17.9901	0.0231	1	14.5559	0.0133	1	13.8312	0.0113	1
744	508	83.656892	-5.439306	1	0	05 34 37.654	-05 26 21.50	22.4591	0.2609	1	21.5943	0.1939	1	17.4346	0.0632	1	15.7974	0.0152	1
917	509	83.666625	-5.434458	1	0	05 34 39.990	-05 26 04.05	21.7037	0.15	1	20.6496	0.1216	1	17.0825	0.0606	1	15.4891	0.0143	1
987	510	83.672217	-5.412347	1	0	05 34 41.332	-05 24 44.45	       	22.0489	2	       	       	0	       	19.8681	2	19.2753	0.1147	1
975	511	83.670529	-5.433333	2	1	05 34 40.927	-05 26 00.00	19.1161	0.0365	1	19.722	0.0572	1	15.418	0.0192	1	15.3249	0.0139	1
975	511	83.670529	-5.433333	2	1	05 34 40.927	-05 26 00.00	19.5475	0.0413	1	20.6206	0.1188	1	15.6022	0.0229	1	15.1678	0.0138	1
1151	513	83.682225	-5.424167	1	0	05 34 43.734	-05 25 27.00	       	21.9869	2	21.8996	0.287	1	17.635	0.071	1	16.5998	0.0218	1
1177	514	83.6853	-5.410639	1	0	05 34 44.472	-05 24 38.30	20.1324	0.0522	1	20.5296	0.0842	1	16.0449	0.027	1	15.6445	0.0152	1
1025	515	83.673733	-5.448039	1	0	05 34 41.696	-05 26 52.94	19.3889	0.0378	1	18.5306	0.0294	1	14.8847	0.0142	1	14.3074	0.0114	1
1103	516	83.678546	-5.421208	1	1	05 34 42.851	-05 25 16.35	21.0788	0.0885	1	20.1389	0.0647	1	15.8338	0.023	1	14.6068	0.0118	1
1059	517	83.676033	-5.421417	1	1	05 34 42.248	-05 25 17.10	       	21.9451	2	       	22.5279	2	       	19.0036	2	17.9634	0.0599	1
967	518	83.670021	-5.444081	1	0	05 34 40.805	-05 26 38.69	17.8528	0.016	1	17.9981	0.0226	1	14.2041	0.0127	1	14.1434	0.0113	1
915	519	83.665475	-5.407142	2	0	05 34 39.714	-05 24 25.71	13.9849	0.0105	1	13.0134	0.0107	1	10.4648	0.0106	1	10.2586	0.0107	1
915	519	83.665475	-5.407142	2	0	05 34 39.714	-05 24 25.71	13.9768	0.0105	1	13.0602	0.0103	1	10.6224	0.0111	1	10.4991	0.0103	1
913	521	83.6662	-5.444983	1	0	05 34 39.888	-05 26 41.94	14.1176	0.0107	1	13.5967	0.0104	1	11.5857	0.0109	1	11.3618	0.0103	1
1175	522	83.685008	-5.435011	1	1	05 34 44.402	-05 26 06.04	21.6009	0.1281	1	21.5147	0.1907	1	16.6966	0.0432	1	15.3059	0.0136	1
1271	523	83.690596	-5.414403	1	0	05 34 45.743	-05 24 51.85	       	22.7632	2	       	       	0	       	19.1434	2	18.878	0.0973	1
1282	524	83.691242	-5.4155	1	0	05 34 45.898	-05 24 55.80	18.6182	0.0257	1	17.5941	0.0179	1	14.2257	0.0128	1	13.7015	0.0109	1
1209	525	83.686808	-5.439414	1	0	05 34 44.834	-05 26 21.89	22.3291	0.2333	1	       	21.7369	2	18.2246	0.0948	1	19.2457	0.1146	1
1269	526	83.690096	-5.448706	1	0	05 34 45.623	-05 26 55.34	20.5055	0.0654	1	19.7467	0.0536	1	16.7046	0.0498	1	16.7253	0.0267	1
1351	527	83.69485	-5.434664	2	1	05 34 46.764	-05 26 04.79	20.6954	0.0696	1	21.4904	0.2235	1	15.8193	0.0235	1	16.3689	0.0211	1
1351	527	83.69485	-5.434664	2	1	05 34 46.764	-05 26 04.79	19.0236	0.1281	1	19.2699	0.0535	1	14.9629	0.0872	1	16.864	0.0255	1
1526	529	83.702658	-5.415736	1	0	05 34 48.638	-05 24 56.65	       	21.9143	2	       	21.5652	2	18.5389	0.2332	1	18.0252	0.0623	1
1462	530	83.700017	-5.444942	1	1	05 34 48.004	-05 26 41.79	       	       	0	       	22.4538	2	       	18.9933	2	18.5168	0.0842	1
1730	531	83.714817	-5.420275	1	0	05 34 51.556	-05 25 12.99	16.4674	0.0114	1	16.3466	0.0125	1	12.9568	0.0114	1	12.9351	0.0105	1
1566	532	83.704442	-5.440706	1	1	05 34 49.066	-05 26 26.54	18.1527	0.0177	1	19.2874	0.0375	1	13.8834	0.0113	1	15.3012	0.0134	1
1439	533	83.698858	-5.442247	1	1	05 34 47.726	-05 26 32.09	21.8604	0.1978	1	21.6027	0.2768	1	17.8202	0.0815	1	16.8923	0.0316	1
