source_id	ONCpc2	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	F336W	e_F336W	f_F336W	F439W	e_F439W	f_F439W	F656N	e_F656N	f_F656N	F814W	e_F814W	f_F814W
1367	39	83.695283	-5.371886	1	0	05 34 46.868	-05 22 18.79	       	22.7162	2	       	21.6352	2	       	18.9434	2	19.2009	0.0522	1
1327	40	83.694	-5.390442	1	1	05 34 46.560	-05 23 25.59	18.8077	0.0304	1	19.094	0.0383	1	14.995	0.0165	1	14.7229	0.0126	1
1493	41	83.701083	-5.359056	1	0	05 34 48.260	-05 21 32.60	       	21.9085	2	       	       	0	       	18.9113	2	17.7374	0.0475	1
1550	42	83.703462	-5.388328	1	1	05 34 48.831	-05 23 17.98	18.6313	0.0273	1	17.5938	0.0189	1	13.9089	0.0121	1	13.2103	0.0109	1
1332	43	83.694146	-5.390053	1	0	05 34 46.595	-05 23 24.19	       	21.8147	2	       	21.566	2	18.6747	0.1383	1	19.4397	0.1897	1
1546	44	83.70335	-5.392675	1	1	05 34 48.804	-05 23 33.63	       	22.7328	2	       	22.3784	2	       	18.958	2	       	20.1842	2
1450	45	83.699692	-5.394536	1	1	05 34 47.926	-05 23 40.33	21.7375	0.1677	1	20.9042	0.1235	1	16.8918	0.0526	1	15.6514	0.0149	1
1383	46	83.695825	-5.399328	2	1	05 34 46.998	-05 23 57.58	       	21.83	2	       	21.5651	2	18.7927	0.1578	1	17.2906	0.0334	1
1383	46	83.695825	-5.399328	2	1	05 34 46.998	-05 23 57.58	       	21.8964	2	       	21.6719	2	18.5987	0.1418	1	17.331	0.0364	1
1308	48	83.692967	-5.408814	2	0	05 34 46.312	-05 24 31.73	20.7983	0.1331	1	19.6603	0.0813	1	16.0617	0.0246	1	15.0287	0.0133	1
1308	48	83.692967	-5.408814	2	0	05 34 46.312	-05 24 31.73	20.6669	0.0701	1	19.7203	0.053	1	16.0194	0.0289	1	14.9846	0.0129	1
1321	50	83.693308	-5.408869	2	0	05 34 46.394	-05 24 31.93	17.8443	0.015	1	16.7229	0.0157	1	13.6502	0.0116	1	13.1156	0.0107	1
1321	50	83.693308	-5.408869	2	0	05 34 46.394	-05 24 31.93	17.7988	0.0157	1	16.7166	0.0135	1	13.6503	0.0114	1	13.1398	0.0106	1
1468	52	83.700458	-5.377372	1	1	05 34 48.110	-05 22 38.54	       	21.7891	2	       	22.5243	2	17.6611	0.0819	1	16.2562	0.0193	1
1452	53	83.699725	-5.380886	1	1	05 34 47.934	-05 22 51.19	       	       	0	       	21.6525	2	       	19.7244	2	19.0362	0.0496	1
1742	54	83.715825	-5.360817	1	0	05 34 51.798	-05 21 38.94	20.0228	0.0527	1	18.6251	0.0345	1	15.2883	0.0194	1	14.4218	0.0116	1
1742	55	83.715779	-5.360942	1	0	05 34 51.787	-05 21 39.39	20.241	0.0583	1	18.6752	0.0368	1	15.2049	0.0184	1	14.4578	0.0118	1
1654	56	83.710404	-5.393147	1	1	05 34 50.497	-05 23 35.33	17.0529	0.013	1	17.4966	0.0183	1	13.4531	0.0118	1	14.0068	0.0113	1
1734	57	83.715183	-5.377731	1	0	05 34 51.644	-05 22 39.83	       	21.5784	2	       	22.4191	2	18.4748	0.1493	1	18.996	0.0904	1
1678	58	83.711204	-5.400328	1	0	05 34 50.689	-05 24 01.18	15.3913	0.0107	1	14.6702	0.0106	1	12.5251	0.0111	1	12.2312	0.0103	1
1768	59	83.717337	-5.375481	1	0	05 34 52.161	-05 22 31.73	18.0671	0.0223	1	17.0583	0.0144	1	13.4544	0.0111	1	12.6659	0.0104	1
1674	60	83.711633	-5.400856	1	0	05 34 50.792	-05 24 03.08	18.3515	0.0227	1	18.3872	0.0288	1	14.471	0.0134	1	14.3964	0.0116	1
1900	61	83.726037	-5.359844	1	1	05 34 54.249	-05 21 35.44	16.7439	0.0119	1	17.0757	0.015	1	13.2763	0.011	1	13.5353	0.0107	1
1754	62	83.716708	-5.405231	1	0	05 34 52.010	-05 24 18.83	19.5567	0.0409	1	19.1475	0.0357	1	14.7953	0.0148	1	14.5124	0.0116	1
1793	63	83.719104	-5.401033	1	0	05 34 52.585	-05 24 03.72	17.5007	0.0144	1	16.5289	0.0126	1	13.4992	0.0109	1	13.0846	0.0105	1
