source_id	ONCacs	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	Vis	F435W	e_F435W	f_F435W	F555W	e_F555W	f_F555W	F658N	e_F658N	f_F658N	F775W	e_F775W	f_F775W	F850LP	e_F850LP	f_F850LP	type	Obs
29	29	83.560375	-5.354558	1	0	05 34 14.490	-05 21 16.41	01	21.8364	 0.0205	1	20.0291	 0.0122	1	18.1389	 0.0224	1	17.1446	 0.0023	2	16.3277	 0.0025	2	1	2005-03-31T06:44:32
30	30	83.56066700000001	-5.3587169999999995	1	0	05 34 14.560	-05 21 31.38	01	       	26.1086	0	       	25.7017	0	       	22.1311	0	22.9022	 0.0339	1	21.0193	 0.0328	1	1	2005-03-31T06:44:32
31	31	83.560775	-5.342331	1	0	05 34 14.586	-05 20 32.39	01	22.2518	 0.0230	1	20.3796	 0.0129	1	18.6615	 0.0203	1	17.4949	 0.0026	2	16.6640	 0.0027	2	1	2005-03-31T06:44:32
32	32	83.561075	-5.3439309999999995	1	0	05 34 14.658	-05 20 38.15	01	       	25.9045	0	23.0776	 0.0688	1	20.5486	 0.0540	1	19.4948	 0.0121	1	18.0467	 0.0042	1	1	2005-03-31T06:44:32
33	33	83.562021	-5.363511	1	0	05 34 14.885	-05 21 48.64	01	24.6390	 0.0839	1	22.3934	 0.0230	1	20.3749	 0.0523	1	19.2934	 0.0118	1	18.0544	 0.0046	1	1	2005-03-31T06:44:32
34	34	83.56219200000001	-5.253172	1	0	05 34 14.926	-05 15 11.42	32	       	26.0312	0	       	26.0948	0	       	22.7766	0	22.8495	 0.0756	1	21.6626	 0.0483	1	1	2005-04-10T03:21:27
35	35	83.56225	-5.263767	1	0	05 34 14.940	-05 15 49.56	32	17.0767	 0.0010	2	15.6730	       	3	14.2757	 0.0013	2	14.4182	       	3	13.5067	       	3	1	2005-04-10T03:21:27
36	36	83.562279	-5.381483	2	0	05 34 14.947	-05 22 53.34	01	       	25.8832	0	       	25.6617	0	       	21.8689	0	23.9625	 0.0721	1	22.1965	 0.0504	1	1	2005-03-31T06:44:32
36	36	83.562279	-5.381483	2	0	05 34 14.947	-05 22 53.34	11	       	25.8370	0	       	25.5943	0	       	22.0715	0	23.4042	 0.1546	1	22.3827	 0.1133	1	1	2005-04-07T06:40:27
38	38	83.562662	-5.396925	1	0	05 34 15.039	-05 23 48.93	11	       	25.8384	0	       	25.6311	0	       	22.0060	0	23.9874	 0.0889	1	22.8313	 0.1922	1	1	2005-04-07T06:40:27
39	39	83.562875	-5.383311	2	0	05 34 15.090	-05 22 59.92	01	21.2564	 0.0185	1	19.7377	 0.0118	1	18.0216	 0.0167	1	16.4695	 0.0022	2	15.7404	 0.0023	2	1	2005-03-31T06:44:32
39	39	83.56287900000001	-5.383306	2	0	05 34 15.091	-05 22 59.90	11	20.6502	 0.0091	1	19.1511	 0.0110	1	17.3705	 0.0133	1	16.5579	 0.0020	2	15.8307	 0.0023	2	1	2005-04-07T06:40:27
41	41	83.563108	-5.4121440000000005	1	1	05 34 15.146	-05 24 43.72	11	23.1091	 0.0491	1	21.4222	 0.0161	1	19.7444	 0.0396	1	18.8776	 0.0113	1	17.8652	 0.0042	1	1	2005-04-07T06:40:27
42	42	83.563283	-5.3937029999999995	1	0	05 34 15.188	-05 23 37.33	11	       	25.9050	0	23.9196	 0.0524	1	       	21.7629	0	20.9637	 0.0162	1	19.9035	 0.0140	1	1	2005-04-07T06:40:27
43	43	83.563762	-5.336186	1	0	05 34 15.303	-05 20 10.27	01	24.0637	 0.0895	1	22.3567	 0.0212	1	20.2811	 0.0435	1	19.3211	 0.0118	1	17.9978	 0.0042	1	1	2005-03-31T06:44:32
44	44	83.56405	-5.254356	1	0	05 34 15.372	-05 15 15.68	32	       	26.0367	0	25.1884	 0.1143	1	       	22.6550	0	20.9365	 0.0157	1	19.3781	 0.0087	1	1	2005-04-10T03:21:27
45	45	83.5641	-5.4043	1	1	05 34 15.384	-05 24 15.48	11	       	25.8331	0	       	25.8370	0	       	22.1708	0	22.6189	 0.0296	1	21.1826	 0.0415	1	1	2005-04-07T06:40:27
46	46	83.564212	-5.291661	1	0	05 34 15.411	-05 17 29.98	32	       	26.2577	0	       	25.9216	0	       	22.7082	0	23.0486	 0.0890	1	22.0123	 0.0285	1	1	2005-04-10T03:21:27
47	47	83.56434200000001	-5.281642	1	0	05 34 15.442	-05 16 53.91	32	       	26.1821	0	       	26.0837	0	       	22.5623	0	23.9272	 0.0608	1	22.4090	 0.1003	1	1	2005-04-10T03:21:27
48	48	83.564817	-5.404564	1	1	05 34 15.556	-05 24 16.43	11	23.4497	 0.0386	1	21.1832	 0.0149	1	19.7729	 0.0380	1	18.5461	 0.0036	1	17.7051	 0.0038	1	1	2005-04-07T06:40:27
49	49	83.565287	-5.386186	2	0	05 34 15.669	-05 23 10.27	02	       	25.9365	0	       	25.2516	0	       	21.9656	0	22.5360	 0.0295	1	21.4652	 0.0271	1	1	2005-04-01T06:43:47
49	49	83.565287	-5.386181	2	0	05 34 15.669	-05 23 10.25	11	       	25.9217	0	24.6193	 0.0949	1	20.9584	 0.0879	1	22.1788	 0.0247	1	21.1155	 0.0228	1	1	2005-04-07T06:40:27
